"street_name","accident_street","total_accident","percent_accident_street"
"Park Circle","23","238421","0.01"
"Waterbury Street","25","238421","0.01"
"Hunter Avenue","14","238421","0.01"
"West 61 Street","25","238421","0.01"
"East 230 Street","27","238421","0.01"
"Merrill Street","13","238421","0.01"
"Rogers Place","13","238421","0.01"
"North 10 Street","20","238421","0.01"
"Dover Street","15","238421","0.01"
"176 Street","18","238421","0.01"
"92 Avenue","15","238421","0.01"
"54 Avenue","32","238421","0.01"
"Fieldston Road","15","238421","0.01"
"Parkside Place","20","238421","0.01"
"Tunnel Exit Street","13","238421","0.01"
"Frisby Avenue","15","238421","0.01"
"West 104 Street","24","238421","0.01"
"192 Street","34","238421","0.01"
"Transverse Road Number Three","23","238421","0.01"
"Stagg Street","20","238421","0.01"
"Norman Street","14","238421","0.01"
"86 Avenue","33","238421","0.01"
"West 119 Street","29","238421","0.01"
"Loring Place North","13","238421","0.01"
"Ellington Parkway","13","238421","0.01"
"Borinquen Place","33","238421","0.01"
"Leavitt Street","15","238421","0.01"
"West 101 Street","14","238421","0.01"
"Liberty Street","33","238421","0.01"
"Beaumont Avenue","12","238421","0.01"
"Watchogue Road","21","238421","0.01"
"57 Road","21","238421","0.01"
"Virginia Avenue","30","238421","0.01"
"179 Street","30","238421","0.01"
"Midland Parkway","28","238421","0.01"
"West 195 Street","21","238421","0.01"
"Willow Road East","12","238421","0.01"
"207 Street","31","238421","0.01"
"Paul Avenue","20","238421","0.01"
"Oak Point Avenue","29","238421","0.01"
"7 Street","21","238421","0.01"
"Mac Dougal Street","19","238421","0.01"
"North 7 Street","25","238421","0.01"
"203 Street","33","238421","0.01"
"Steuben Street","25","238421","0.01"
"67 Road","22","238421","0.01"
"Coolidge Avenue","15","238421","0.01"
"Prospect Expressway","22","238421","0.01"
"Father Capodanno Blvd","12","238421","0.01"
"Wetherole Street","18","238421","0.01"
"Columbus Circle","22","238421","0.01"
"69 Lane","21","238421","0.01"
"Stewart Avenue","28","238421","0.01"
"Mc Kinley Avenue","12","238421","0.01"
"Loring Avenue","31","238421","0.01"
"Saint Pauls Place","22","238421","0.01"
"Buel Avenue","15","238421","0.01"
"G.C.P. / Jewel (Cdr)","14","238421","0.01"
"Beadel Street","17","238421","0.01"
"Moffat Street","27","238421","0.01"
"Guyon Avenue","22","238421","0.01"
"Mosel Avenue","17","238421","0.01"
"West 235 Street","12","238421","0.01"
"Luquer Street","14","238421","0.01"
"Lacombe Avenue","27","238421","0.01"
"Travis Avenue","25","238421","0.01"
"Corlear Avenue","17","238421","0.01"
"12 Road","12","238421","0.01"
"Brookdale Plaza","17","238421","0.01"
"Furman Street","21","238421","0.01"
"15 Street","35","238421","0.01"
"Sterling Street","12","238421","0.01"
"Brielle Avenue","22","238421","0.01"
"Cromwell Avenue","27","238421","0.01"
"42 Road","25","238421","0.01"
"South Railroad Avenue","22","238421","0.01"
"Legion Street","21","238421","0.01"
"Balcom Avenue","20","238421","0.01"
"Horatio Street","13","238421","0.01"
"Noble Avenue","22","238421","0.01"
"Berriman Street","25","238421","0.01"
"South Portland Avenue","30","238421","0.01"
"Green Street","18","238421","0.01"
"Manor Avenue","30","238421","0.01"
"Cleveland Street","33","238421","0.01"
"Clarke Avenue","18","238421","0.01"
"241 Street","32","238421","0.01"
"Bay 22 Street","12","238421","0.01"
"Jesup Avenue","13","238421","0.01"
"Wyckoff Street","20","238421","0.01"
"Guider Avenue","16","238421","0.01"
"East 218 Street","19","238421","0.01"
"East 145 Street","34","238421","0.01"
"Zulette Avenue","12","238421","0.01"
"East 208 Street","14","238421","0.01"
"North Portland Avenue","24","238421","0.01"
"55 Drive","18","238421","0.01"
"Decker Avenue","29","238421","0.01"
"109 Street","31","238421","0.01"
"Fort Greene Place","19","238421","0.01"
"Canarsie Road","12","238421","0.01"
"30 Road","13","238421","0.01"
"Starr Avenue","12","238421","0.01"
"West 187 Street","13","238421","0.01"
"Vancortlandt Park East","12","238421","0.01"
"Wakeman Place","16","238421","0.01"
"Bay 8 Street","34","238421","0.01"
"Giffords Lane","18","238421","0.01"
"Tiebout Avenue","28","238421","0.01"
"East 199 Street","18","238421","0.01"
"Mc Guinness Blvd South","21","238421","0.01"
"Dorchester Road","25","238421","0.01"
"30 Place","27","238421","0.01"
"184 Place","17","238421","0.01"
"Tibbett Avenue","18","238421","0.01"
"Bay 52 Street","12","238421","0.01"
"8 Street","28","238421","0.01"
"East 137 Street","35","238421","0.01"
"47 Road","13","238421","0.01"
"Grassmere Terrace","14","238421","0.01"
"Elbertson Street","13","238421","0.01"
"Tiemann Avenue","14","238421","0.01"
"Beach 22 Street","24","238421","0.01"
"Seaman Avenue","25","238421","0.01"
"Bethune Street","18","238421","0.01"
"Crotona Park South","13","238421","0.01"
"Hoover Avenue","22","238421","0.01"
"Woodhull Avenue","16","238421","0.01"
"Eldridge Street","28","238421","0.01"
"Elliot Place","15","238421","0.01"
"Bedell Street","27","238421","0.01"
"Market Street","18","238421","0.01"
"Metropolitan Oval","19","238421","0.01"
"Wilkens Avenue","12","238421","0.01"
"Withers Street","12","238421","0.01"
"Moore Street","28","238421","0.01"
"Spencer Street","17","238421","0.01"
"East 227 Street","24","238421","0.01"
"East 221 Street","22","238421","0.01"
"Meserole Avenue","34","238421","0.01"
"Thames Street","13","238421","0.01"
"West 237 Street","21","238421","0.01"
"Montgomery Avenue","28","238421","0.01"
"Devoe Avenue","17","238421","0.01"
"Beach 32 Street","12","238421","0.01"
"Adrian Avenue","14","238421","0.01"
"Yates Avenue","20","238421","0.01"
"Mount Hope Place","16","238421","0.01"
"25 Road","12","238421","0.01"
"Boynton Avenue","35","238421","0.01"
"Stadium Avenue","12","238421","0.01"
"Nome Avenue","21","238421","0.01"
"Highland Avenue","35","238421","0.01"
"Hammersley Avenue","25","238421","0.01"
"East 1 Street","18","238421","0.01"
"Juniper Valley Road","17","238421","0.01"
"Hampton Street","21","238421","0.01"
"Rust Street","26","238421","0.01"
"Bainbridge Street","31","238421","0.01"
"Devoe Street","16","238421","0.01"
"164 Place","13","238421","0.01"
"Gunther Avenue","29","238421","0.01"
"Aldus Street","20","238421","0.01"
"Huron Street","17","238421","0.01"
"East 242 Street","21","238421","0.01"
"Hewes Street","19","238421","0.01"
"West 89 Street","20","238421","0.01"
"Bay View Avenue","14","238421","0.01"
"Shea Road","13","238421","0.01"
"Woodstock Avenue","13","238421","0.01"
"East 189 Street","34","238421","0.01"
"Forest Parkway","24","238421","0.01"
"Kennedy Street","15","238421","0.01"
"Concourse Village East","23","238421","0.01"
"West 254 Street","18","238421","0.01"
"East 210 Street","16","238421","0.01"
"Hoffman Drive","12","238421","0.01"
"East 207 Street","16","238421","0.01"
"Parkville Avenue","19","238421","0.01"
"South Oxford Street","14","238421","0.01"
"Beach 9 Street","27","238421","0.01"
"Vandalia Avenue","29","238421","0.01"
"East 146 Street","16","238421","0.01"
"65 Avenue","35","238421","0.01"
"Ulmer Street","18","238421","0.01"
"3 Street","34","238421","0.01"
"Memphis Avenue","27","238421","0.01"
"100 Avenue","21","238421","0.01"
"East 237 Street","35","238421","0.01"
"Oceanview Avenue","22","238421","0.01"
"West 69 Street","18","238421","0.01"
"Albany Crescent","17","238421","0.01"
"Dix Avenue","13","238421","0.01"
"East 143 Street","32","238421","0.01"
"Boscombe Avenue","16","238421","0.01"
"Conselyea Street","13","238421","0.01"
"North Henry Street","20","238421","0.01"
"Bruner Avenue","25","238421","0.01"
"Joralemon Street","24","238421","0.01"
"Nameoke Avenue","15","238421","0.01"
"De Graw Street","32","238421","0.01"
"186 Street","13","238421","0.01"
"Lake Avenue","12","238421","0.01"
"Harold Street","16","238421","0.01"
"69 Road","31","238421","0.01"
"Schley Avenue","33","238421","0.01"
"Brighton 4 Street","15","238421","0.01"
"West 65 Street","34","238421","0.01"
"West 94 Street","27","238421","0.01"
"Rossville Avenue","24","238421","0.01"
"Crosby Avenue","32","238421","0.01"
"West 87 Street","21","238421","0.01"
"Foster Road","14","238421","0.01"
"West Mount Eden Avenue","14","238421","0.01"
"Winchester Boulevard","23","238421","0.01"
"Rochambeau Avenue","21","238421","0.01"
"Berkeley Place","15","238421","0.01"
"70 Avenue","35","238421","0.01"
"West 62 Street","13","238421","0.01"
"South 9 Street","12","238421","0.01"
"Bard Avenue","30","238421","0.01"
"Reade Street","12","238421","0.01"
"Newbold Avenue","24","238421","0.01"
"Whipple Street","12","238421","0.01"
"Mcclellan Street","17","238421","0.01"
"66 Road","16","238421","0.01"
"West 106 Street","13","238421","0.01"
"Suffolk Street","16","238421","0.01"
"209 Street","26","238421","0.01"
"Porter Avenue","29","238421","0.01"
"Mother Gaston Boulevard","28","238421","0.01"
"Lawrence Avenue","13","238421","0.01"
"212 Place","14","238421","0.01"
"Meridian Road","15","238421","0.01"
"Nassau Street","33","238421","0.01"
"Nevins Street","31","238421","0.01"
"14 Road","13","238421","0.01"
"Leland Avenue","31","238421","0.01"
"189 Street","23","238421","0.01"
"Dyer Avenue","27","238421","0.01"
"West 95 Street","32","238421","0.01"
"64 Road","29","238421","0.01"
"178 Street","30","238421","0.01"
"102 Avenue","15","238421","0.01"
"Marmion Avenue","15","238421","0.01"
"Beard Street","12","238421","0.01"
"86 Road","17","238421","0.01"
"Mill Avenue","25","238421","0.01"
"Stratford Avenue","31","238421","0.01"
"Ellis Avenue","34","238421","0.01"
"Newtown Avenue","20","238421","0.01"
"Hunt Avenue","12","238421","0.01"
"Central Park North","22","238421","0.01"
"West 91 Street","20","238421","0.01"
"Topping Avenue","17","238421","0.01"
"157 Avenue","21","238421","0.01"
"Brighton 8 Street","13","238421","0.01"
"Genesee Avenue","12","238421","0.01"
"West 236 Street","13","238421","0.01"
"Beach Street","18","238421","0.01"
"Scott Avenue","19","238421","0.01"
"60 Place","28","238421","0.01"
"West 83 Street","21","238421","0.01"
"123 Avenue","17","238421","0.01"
"Bay 25 Street","20","238421","0.01"
"Quincy Avenue","18","238421","0.01"
"Dekalb Avenue","27","238421","0.01"
"West 185 Street","12","238421","0.01"
"Hale Avenue","17","238421","0.01"
"North Railroad Avenue","24","238421","0.01"
"Cross Bronx Extention","31","238421","0.01"
"East 71 Street","35","238421","0.01"
"Westwood Avenue","12","238421","0.01"
"Bradhurst Avenue","32","238421","0.01"
"West 85 Street","25","238421","0.01"
"Tysens Lane","23","238421","0.01"
"Waring Avenue","29","238421","0.01"
"Halleck Street","22","238421","0.01"
"Barkley Avenue","12","238421","0.01"
"145 Drive","12","238421","0.01"
"Ford Street","12","238421","0.01"
"Mill Road","20","238421","0.01"
"Marlborough Road","19","238421","0.01"
"214 Place","14","238421","0.01"
"West 163 Street","27","238421","0.01"
"West 182 Street","17","238421","0.01"
"Highlawn Avenue","17","238421","0.01"
"Auburn Place","13","238421","0.01"
"150 Avenue","22","238421","0.01"
"Lawrence Street","20","238421","0.01"
"North 1 Street","12","238421","0.01"
"West 105 Street","27","238421","0.01"
"Carson Street","12","238421","0.01"
"East 214 Street","26","238421","0.01"
"Caldwell Avenue","15","238421","0.01"
"Vermilyea Avenue","32","238421","0.01"
"Bedford Street","16","238421","0.01"
"Greenwich Avenue","31","238421","0.01"
"Etna Street","18","238421","0.01"
"East 133 Street","20","238421","0.01"
"Dunkirk Street","24","238421","0.01"
"137 Street","27","238421","0.01"
"Hawthorne Street","28","238421","0.01"
"West 66 Street","30","238421","0.01"
"76 Road","15","238421","0.01"
"60 Lane","21","238421","0.01"
"East 239 Street","20","238421","0.01"
"West 70 Street","16","238421","0.01"
"Transverse Road Number One","23","238421","0.01"
"Ryder Street","19","238421","0.01"
"Saint Nicholas Place","20","238421","0.01"
"Britton Avenue","24","238421","0.01"
"West 108 Street","20","238421","0.01"
"112 Road","13","238421","0.01"
"Somers Street","13","238421","0.01"
"87 Road","19","238421","0.01"
"Reeds Mill Lane","13","238421","0.01"
"University Place","13","238421","0.01"
"Staten Island Expressway Ramp","22","238421","0.01"
"West 107 Street","24","238421","0.01"
"Drumgoole Road East","32","238421","0.01"
"Seigel Street","13","238421","0.01"
"Marcy Place","13","238421","0.01"
"Greene Street","15","238421","0.01"
"Nameoke Street","12","238421","0.01"
"Battery Place","20","238421","0.01"
"Coster Street","27","238421","0.01"
"Queensboro Bridge","26","238421","0.01"
"Marion Street","17","238421","0.01"
"East 234 Street","33","238421","0.01"
"Lily Pond Avenue","26","238421","0.01"
"Seymour Avenue","18","238421","0.01"
"Bay 17 Street","15","238421","0.01"
"Duffield Street","35","238421","0.01"
"Wilson Street","14","238421","0.01"
"Webb Avenue","27","238421","0.01"
"Plimpton Avenue","15","238421","0.01"
"59 Drive","22","238421","0.01"
"Gulf Avenue","33","238421","0.01"
"Goulden Avenue","31","238421","0.01"
"Truxton Street","14","238421","0.01"
"Rutledge Street","22","238421","0.01"
"Guy R Brewer Blvd","16","238421","0.01"
"Penn Street","17","238421","0.01"
"17 Street","29","238421","0.01"
"Strang Avenue","19","238421","0.01"
"White Street","31","238421","0.01"
"Mcgraw Avenue","20","238421","0.01"
"Laight Street","14","238421","0.01"
"Forley Street","25","238421","0.01"
"66 Avenue","27","238421","0.01"
"Mcclean Avenue","24","238421","0.01"
"Trinity Place","15","238421","0.01"
"Dickens Street","12","238421","0.01"
"Hooper Street","24","238421","0.01"
"Brown Place","18","238421","0.01"
"168 Place","20","238421","0.01"
"Debevoise Street","12","238421","0.01"
"Bay 29 Street","12","238421","0.01"
"Hazen Street","13","238421","0.01"
"29 Avenue","29","238421","0.01"
"State Street","28","238421","0.01"
"Edgemere Avenue","22","238421","0.01"
"232 Street","21","238421","0.01"
"16 Street","25","238421","0.01"
"East 220 Street","21","238421","0.01"
"33 Avenue","28","238421","0.01"
"141 Avenue","19","238421","0.01"
"East 232 Street","26","238421","0.01"
"144 Place","14","238421","0.01"
"63 Avenue","30","238421","0.01"
"Cook Street","15","238421","0.01"
"Ampere Avenue","13","238421","0.01"
"Maple Avenue","27","238421","0.01"
"G.C.P. / Laguardia (Cdr)","31","238421","0.01"
"West 130 Street","29","238421","0.01"
"Redfern Avenue","18","238421","0.01"
"East 136 Street","29","238421","0.01"
"Midland Avenue","28","238421","0.01"
"Milford Street","30","238421","0.01"
"Bogart Avenue","17","238421","0.01"
"Goethals Road North","19","238421","0.01"
"69 Place","23","238421","0.01"
"Rockwell Place","21","238421","0.01"
"West 90 Street","16","238421","0.01"
"73 Place","25","238421","0.01"
"Beach 128 Street","3","238421","0.00"
"Amber Street","7","238421","0.00"
"Tompkins Street","2","238421","0.00"
"147 Road","6","238421","0.00"
"Blackstone Avenue","1","238421","0.00"
"Caffrey Avenue","9","238421","0.00"
"West 155 Street Bridge","3","238421","0.00"
"Penrod Street","4","238421","0.00"
"Hudson Yards","6","238421","0.00"
"Connell Place","1","238421","0.00"
"Imlay Street","1","238421","0.00"
"Brighton 10 Street","2","238421","0.00"
"Macfarland Avenue","1","238421","0.00"
"Perimeter Road","4","238421","0.00"
"Groton Street","2","238421","0.00"
"Sexton Place","9","238421","0.00"
"Figurea Avenue","1","238421","0.00"
"Guy R Brewer Boulevard","11","238421","0.00"
"Seddon Street","5","238421","0.00"
"Mountainview Avenue","2","238421","0.00"
"Cuba Avenue","1","238421","0.00"
"Janet Place","3","238421","0.00"
"E11Th St","1","238421","0.00"
"Arthur Street","1","238421","0.00"
"Park Lane","7","238421","0.00"
"Mann Avenue","6","238421","0.00"
"Bolton Street","6","238421","0.00"
"Kosciusko Bridge","1","238421","0.00"
"Cedargrove Avenue","2","238421","0.00"
"East Service Road","5","238421","0.00"
"Oswego Street","2","238421","0.00"
"Collier Avenue","1","238421","0.00"
